"run","CapacityAtEnd (Stddev)"
"0","0.344"
"1","0.347"
"2","0.347"
"3","0.345"
"4","0.347"
"5","0.35"
"6","0.348"
"7","0.35"
"8","0.348"
"9","0.345"
"10","0.347"
"11","0.347"
"12","0.348"
"13","0.35"
"14","0.348"
"15","0.348"
"16","0.344"
"17","0.349"
"18","0.348"
"19","0.348"
"20","0.345"
"21","0.346"
"22","0.346"
"23","0.35"
"24","0.347"
"25","0.35"
"26","0.345"
"27","0.346"
"28","0.349"
"29","0.35"
"30","0.344"
"31","0.348"
"32","0.348"
"33","0.35"
"34","0.346"
"35","0.348"
"36","0.349"
"37","0.35"
"38","0.351"
"39","0.348"
"40","0.343"
"41","0.348"
"42","0.347"
"43","0.347"
"44","0.347"
"45","0.346"
"46","0.345"
"47","0.348"
"48","0.346"
"49","0.349"
"50","0.349"
"51","0.347"
"52","0.346"
"53","0.35"
"54","0.349"
"55","0.347"
"56","0.349"
"57","0.348"
"58","0.345"
"59","0.347"
"60","0.345"
"61","0.347"
"62","0.348"
"63","0.349"
"64","0.347"
"65","0.347"
"66","0.344"
"67","0.346"
"68","0.347"
"69","0.348"
"70","0.347"
"71","0.351"
"72","0.347"
"73","0.35"
"74","0.345"
"75","0.348"
"76","0.345"
"77","0.347"
"78","0.349"
"79","0.346"
"80","0.347"
"81","0.346"
"82","0.347"
"83","0.348"
"84","0.345"
"85","0.347"
"86","0.347"
"87","0.348"
"88","0.347"
"89","0.346"
"90","0.345"
"91","0.348"
"92","0.348"
"93","0.347"
"94","0.348"
"95","0.348"
"96","0.346"
"97","0.348"
"98","0.346"
"99","0.347"
"mean","0.34729"
"min","0.343"
"max","0.351"
"lower","0.346954767402048"
"upper","0.347625232597952"
"error","0.000335232597951651"
