"run","End2End (Seconds)"
"0","0.00514006"
"1","0.00510451"
"2","0.00511823"
"3","0.00505448"
"4","0.00512472"
"5","0.00510904"
"6","0.00501964"
"7","0.00511801"
"8","0.00508619"
"9","0.00507403"
"10","0.0050905"
"11","0.00509664"
"12","0.00506788"
"13","0.00507925"
"14","0.0051266"
"15","0.00508146"
"16","0.00505437"
"17","0.00510873"
"18","0.00510526"
"19","0.00509539"
"20","0.00508817"
"21","0.00503664"
"22","0.00508393"
"23","0.00508414"
"24","0.00510753"
"25","0.00509263"
"26","0.00512443"
"27","0.00505152"
"28","0.00506758"
"29","0.00506403"
"30","0.00508863"
"31","0.00507205"
"32","0.00507171"
"33","0.00508597"
"34","0.00510098"
"35","0.00513792"
"36","0.00505655"
"37","0.00505224"
"38","0.00509432"
"39","0.00510037"
"40","0.00511546"
"41","0.0051005"
"42","0.00503382"
"43","0.00511253"
"44","0.0051273"
"45","0.00511824"
"46","0.00509135"
"47","0.00506908"
"48","0.00504119"
"49","0.00509211"
"50","0.00507874"
"51","0.00510662"
"52","0.00507697"
"53","0.00507119"
"54","0.00509151"
"55","0.00507884"
"56","0.00506738"
"57","0.00508675"
"58","0.0051214"
"59","0.00511473"
"60","0.00507898"
"61","0.00508705"
"62","0.00596506"
"63","0.00506785"
"64","0.0050612"
"65","0.00514494"
"66","0.00504662"
"67","0.00508309"
"68","0.00793907"
"69","0.00505828"
"70","0.00513978"
"71","0.00513997"
"72","0.00507955"
"73","0.00507645"
"74","0.00510762"
"75","0.00510111"
"76","0.00505483"
"77","0.0051259"
"78","0.00509253"
"79","0.00554806"
"80","0.00503949"
"81","0.00510188"
"82","0.00501998"
"83","0.0051265"
"84","0.00508339"
"85","0.00513184"
"86","0.00507965"
"87","0.00509014"
"88","0.0051164"
"89","0.0051103"
"90","0.00510309"
"91","0.00506626"
"92","0.00511366"
"93","0.00510469"
"94","0.00517463"
"95","0.00507677"
"96","0.00510551"
"97","0.00507815"
"98","0.00508754"
"99","0.00508738"
"mean","0.0051320723"
"min","0.00501964"
"max","0.00793907"
"lower","0.00507226535676538"
"upper","0.00519187924323462"
"error","5.98069432346214e-05"
