"run","RTT (Seconds)"
"0","0.0022786"
"1","0.00238009"
"2","0.00257558"
"3","0.00274868"
"4","0.0022579"
"5","0.00245436"
"6","0.00236018"
"7","0.00234516"
"8","0.00279739"
"9","0.00261356"
"10","0.00226974"
"11","0.00256476"
"12","0.00228564"
"13","0.00240187"
"14","0.00235567"
"15","0.00273144"
"16","0.00231963"
"17","0.00268492"
"18","0.00245839"
"19","0.00262645"
"20","0.0024914"
"21","0.00242451"
"22","0.00257903"
"23","0.00233667"
"24","0.00246978"
"25","0.00256187"
"26","0.0023407"
"27","0.00265623"
"28","0.00432036"
"29","0.0024744"
"30","0.00253559"
"31","0.00252062"
"32","0.00241286"
"33","0.00250704"
"34","0.00253884"
"35","0.00219964"
"36","0.00267113"
"37","0.00229119"
"38","0.00273993"
"39","0.00237212"
"40","0.00249052"
"41","0.00241523"
"42","0.00265651"
"43","0.00274618"
"44","0.00243717"
"45","0.00258335"
"46","0.00240664"
"47","0.00244011"
"48","0.00211632"
"49","0.00221345"
"50","0.00226412"
"51","0.00257271"
"52","0.00239186"
"53","0.00233436"
"54","0.00248417"
"55","0.00238981"
"56","0.00236227"
"57","0.00240987"
"58","0.00233138"
"59","0.00258943"
"60","0.00254351"
"61","0.00235106"
"62","0.00429129"
"63","0.00248392"
"64","0.00248024"
"65","0.00230761"
"66","0.00261029"
"67","0.00241006"
"68","0.0043074"
"69","0.00240637"
"70","0.00286085"
"71","0.00264449"
"72","0.00244268"
"73","0.00237848"
"74","0.00235108"
"75","0.00242946"
"76","0.00247298"
"77","0.0027074"
"78","0.00238496"
"79","0.00267686"
"80","0.00263236"
"81","0.00229409"
"82","0.00253384"
"83","0.00263052"
"84","0.00265501"
"85","0.00274887"
"86","0.00250544"
"87","0.00252181"
"88","0.0024594"
"89","0.00271498"
"90","0.00257443"
"91","0.00243934"
"92","0.00252581"
"93","0.00242225"
"94","0.00270628"
"95","0.00272655"
"96","0.00242161"
"97","0.00236399"
"98","0.00262545"
"99","0.00256045"
"mean","0.0025419285"
"min","0.00211632"
"max","0.00432036"
"lower","0.00247335114531725"
"upper","0.00261050585468274"
"error","6.85773546827452e-05"
