"run","CapacityAtEnd (Stddev)"
"0","0.999"
"1","1.001"
"2","0.996"
"3","0.997"
"4","1.002"
"5","0.998"
"6","1.004"
"7","0.999"
"8","1.002"
"9","1.002"
"10","0.999"
"11","0.996"
"12","1.002"
"13","1.002"
"14","1"
"15","0.999"
"16","0.997"
"17","1"
"18","0.995"
"19","0.998"
"20","0.998"
"21","0.998"
"22","0.996"
"23","1.002"
"24","1.003"
"25","1.006"
"26","1.001"
"27","1.002"
"28","0.996"
"29","0.997"
"30","0.999"
"31","1.004"
"32","0.998"
"33","0.995"
"34","1.001"
"35","1.004"
"36","1.001"
"37","1.007"
"38","0.993"
"39","0.996"
"40","0.991"
"41","1"
"42","0.997"
"43","1.002"
"44","0.995"
"45","0.999"
"46","1.001"
"47","0.995"
"48","1.002"
"49","0.995"
"50","1.001"
"51","1.005"
"52","0.997"
"53","0.997"
"54","1.001"
"55","0.998"
"56","1.003"
"57","0.999"
"58","0.998"
"59","0.997"
"60","1.002"
"61","0.998"
"62","0.995"
"63","1.005"
"64","1.001"
"65","1.003"
"66","0.998"
"67","0.996"
"68","0.998"
"69","0.994"
"70","0.993"
"71","0.998"
"72","1"
"73","0.997"
"74","0.995"
"75","0.998"
"76","1.003"
"77","0.993"
"78","0.998"
"79","0.999"
"80","0.999"
"81","0.996"
"82","0.996"
"83","1.002"
"84","0.999"
"85","0.999"
"86","1.002"
"87","0.997"
"88","1"
"89","1"
"90","1.003"
"91","0.998"
"92","0.995"
"93","0.999"
"94","0.996"
"95","0.996"
"96","0.999"
"97","1.004"
"98","1"
"99","0.997"
"mean","0.99899"
"min","0.991"
"max","1.007"
"lower","0.998365402648747"
"upper","0.999614597351252"
"error","0.000624597351252754"
