"run","CapacityAtEnd (Stddev)"
"0","0.346"
"1","0.345"
"2","0.345"
"3","0.344"
"4","0.346"
"5","0.349"
"6","0.346"
"7","0.346"
"8","0.343"
"9","0.348"
"10","0.345"
"11","0.348"
"12","0.347"
"13","0.347"
"14","0.347"
"15","0.347"
"16","0.345"
"17","0.346"
"18","0.343"
"19","0.347"
"20","0.346"
"21","0.346"
"22","0.346"
"23","0.348"
"24","0.343"
"25","0.348"
"26","0.348"
"27","0.344"
"28","0.343"
"29","0.348"
"30","0.346"
"31","0.346"
"32","0.344"
"33","0.347"
"34","0.344"
"35","0.347"
"36","0.347"
"37","0.345"
"38","0.348"
"39","0.349"
"40","0.345"
"41","0.348"
"42","0.344"
"43","0.347"
"44","0.348"
"45","0.345"
"46","0.348"
"47","0.345"
"48","0.347"
"49","0.346"
"50","0.348"
"51","0.347"
"52","0.346"
"53","0.346"
"54","0.348"
"55","0.345"
"56","0.346"
"57","0.351"
"58","0.346"
"59","0.349"
"60","0.345"
"61","0.349"
"62","0.347"
"63","0.346"
"64","0.347"
"65","0.348"
"66","0.345"
"67","0.347"
"68","0.347"
"69","0.344"
"70","0.345"
"71","0.349"
"72","0.35"
"73","0.347"
"74","0.347"
"75","0.343"
"76","0.343"
"77","0.347"
"78","0.348"
"79","0.347"
"80","0.344"
"81","0.346"
"82","0.347"
"83","0.346"
"84","0.344"
"85","0.344"
"86","0.345"
"87","0.347"
"88","0.345"
"89","0.345"
"90","0.345"
"91","0.346"
"92","0.348"
"93","0.345"
"94","0.346"
"95","0.349"
"96","0.345"
"97","0.346"
"98","0.345"
"99","0.346"
"mean","0.34623"
"min","0.343"
"max","0.351"
"lower","0.345896480028787"
"upper","0.346563519971213"
"error","0.000333519971212615"
