"run","End2End (Seconds)"
"0","0.0052168"
"1","0.00517576"
"2","0.00520361"
"3","0.00513397"
"4","0.00930904"
"5","0.00515715"
"6","0.00515511"
"7","0.00516501"
"8","0.00518777"
"9","0.00514116"
"10","0.00518243"
"11","0.00514824"
"12","0.00518861"
"13","0.00515302"
"14","0.00519473"
"15","0.00517196"
"16","0.00512965"
"17","0.00522573"
"18","0.00516378"
"19","0.00515941"
"20","0.00515824"
"21","0.0051573"
"22","0.0051904"
"23","0.00511254"
"24","0.00519345"
"25","0.00514073"
"26","0.00521475"
"27","0.00517418"
"28","0.00519631"
"29","0.00517608"
"30","0.00517433"
"31","0.00516775"
"32","0.00512899"
"33","0.0139004"
"34","0.00517135"
"35","0.00519788"
"36","0.00510819"
"37","0.0097708"
"38","0.00597095"
"39","0.00513331"
"40","0.0051666"
"41","0.00517508"
"42","0.00516938"
"43","0.00523316"
"44","0.00519162"
"45","0.00519243"
"46","0.00516062"
"47","0.00515519"
"48","0.00516573"
"49","0.00517447"
"50","0.00518841"
"51","0.00518129"
"52","0.00515832"
"53","0.00517541"
"54","0.00516443"
"55","0.0051515"
"56","0.00516207"
"57","0.00516428"
"58","0.00516048"
"59","0.00518397"
"60","0.00524749"
"61","0.0052043"
"62","0.00517482"
"63","0.00513297"
"64","0.00515025"
"65","0.00524042"
"66","0.00515996"
"67","0.00724052"
"68","0.00519156"
"69","0.0052223"
"70","0.00517041"
"71","0.00518142"
"72","0.00511653"
"73","0.00517569"
"74","0.00521459"
"75","0.00510171"
"76","0.00519663"
"77","0.0052087"
"78","0.00517324"
"79","0.00521438"
"80","0.00511074"
"81","0.00516574"
"82","0.00507884"
"83","0.00518618"
"84","0.00517683"
"85","0.00520297"
"86","0.00513282"
"87","0.00516593"
"88","0.00519207"
"89","0.00516095"
"90","0.00516583"
"91","0.00511436"
"92","0.00518392"
"93","0.00516631"
"94","0.0051919"
"95","0.00513334"
"96","0.00519696"
"97","0.00515884"
"98","0.00516193"
"99","0.005206"
"mean","0.0053744566"
"min","0.00507884"
"max","0.0139004"
"lower","0.00516027178107701"
"upper","0.00558864141892299"
"error","0.000214184818922991"
