"run","RTT (Seconds)"
"0","0.00237036"
"1","0.00271756"
"2","0.00268101"
"3","0.00300306"
"4","0.100292"
"5","0.00277097"
"6","0.00252279"
"7","0.00255588"
"8","0.00258376"
"9","0.00247781"
"10","0.00280305"
"11","0.00295278"
"12","0.00300933"
"13","0.002656"
"14","0.00285"
"15","0.00284465"
"16","0.00293096"
"17","0.00268395"
"18","0.00257587"
"19","0.00297302"
"20","0.00276222"
"21","0.00300417"
"22","0.002666"
"23","0.00259298"
"24","0.00279987"
"25","0.00255136"
"26","0.00259404"
"27","0.00274023"
"28","0.00268215"
"29","0.00257776"
"30","0.0031221"
"31","0.00295669"
"32","0.00263302"
"33","0.122795"
"34","0.0025095"
"35","0.00257615"
"36","0.0026036"
"37","0.0845577"
"38","0.00434809"
"39","0.00251646"
"40","0.00275027"
"41","0.00274162"
"42","0.00258731"
"43","0.00268135"
"44","0.00263884"
"45","0.00286626"
"46","0.00280437"
"47","0.00348425"
"48","0.00298064"
"49","0.00272841"
"50","0.00297458"
"51","0.00269985"
"52","0.00319582"
"53","0.0027584"
"54","0.00273672"
"55","0.00329946"
"56","0.00271723"
"57","0.00274339"
"58","0.00259328"
"59","0.00269026"
"60","0.00293092"
"61","0.00262645"
"62","0.00302722"
"63","0.00259617"
"64","0.00287865"
"65","0.00258042"
"66","0.00247841"
"67","0.0853452"
"68","0.00287398"
"69","0.00262104"
"70","0.00334705"
"71","0.00270619"
"72","0.00271975"
"73","0.00281272"
"74","0.0025784"
"75","0.00254348"
"76","0.00250566"
"77","0.00284726"
"78","0.00284051"
"79","0.00279758"
"80","0.00269627"
"81","0.00264611"
"82","0.00257508"
"83","0.00247897"
"84","0.00256304"
"85","0.00309006"
"86","0.00258158"
"87","0.00266785"
"88","0.00272743"
"89","0.00254936"
"90","0.00257595"
"91","0.00276784"
"92","0.00266393"
"93","0.00273694"
"94","0.00251196"
"95","0.00268863"
"96","0.00248645"
"97","0.00268634"
"98","0.00285092"
"99","0.00281118"
"mean","0.0065752916"
"min","0.00237036"
"max","0.122795"
"lower","0.00279247585047576"
"upper","0.0103581073495242"
"error","0.00378281574952424"
