"run","End2End (Seconds)"
"0","0.0052329"
"1","0.00528877"
"2","0.00530531"
"3","0.00529268"
"4","0.00526409"
"5","0.00520366"
"6","0.00523945"
"7","0.00525378"
"8","0.00523437"
"9","0.00522649"
"10","0.0052863"
"11","0.00524098"
"12","0.00526727"
"13","0.00528487"
"14","0.00531203"
"15","0.0051999"
"16","0.00523405"
"17","0.00527367"
"18","0.00522727"
"19","0.00521657"
"20","0.00532254"
"21","0.00526509"
"22","0.00527456"
"23","0.00524549"
"24","0.00522479"
"25","0.00520422"
"26","0.00523597"
"27","0.00525682"
"28","0.00523324"
"29","0.00518486"
"30","0.00530652"
"31","0.00527141"
"32","0.00529667"
"33","0.00519654"
"34","0.00524765"
"35","0.00555461"
"36","0.00523256"
"37","0.00523299"
"38","0.00520955"
"39","0.00520439"
"40","0.00529133"
"41","0.00533546"
"42","0.00522949"
"43","0.00525131"
"44","0.00530504"
"45","0.00527033"
"46","0.00528854"
"47","0.00522359"
"48","0.00523902"
"49","0.00529191"
"50","0.00525803"
"51","0.00594309"
"52","0.00525457"
"53","0.00528733"
"54","0.00531884"
"55","0.0059485"
"56","0.00518383"
"57","0.00523706"
"58","0.00525773"
"59","0.00523706"
"60","0.00525093"
"61","0.0114038"
"62","0.00527313"
"63","0.00518842"
"64","0.00523998"
"65","0.00528991"
"66","0.0052243"
"67","0.00519407"
"68","0.00523943"
"69","0.00523934"
"70","0.00530058"
"71","0.00522831"
"72","0.00524446"
"73","0.00521554"
"74","0.00531744"
"75","0.00523786"
"76","0.00521508"
"77","0.00528471"
"78","0.00528751"
"79","0.00525926"
"80","0.00519247"
"81","0.0052469"
"82","0.00519426"
"83","0.00527452"
"84","0.00528721"
"85","0.00527333"
"86","0.012198"
"87","0.0134857"
"88","0.00534778"
"89","0.00521651"
"90","0.0053008"
"91","0.00519406"
"92","0.00527634"
"93","0.00528908"
"94","0.00533247"
"95","0.00527883"
"96","0.00527728"
"97","0.00524548"
"98","0.00523706"
"99","0.00517878"
"mean","0.0054839786"
"min","0.00517878"
"max","0.0134857"
"lower","0.00523998687141857"
"upper","0.00572797032858143"
"error","0.000243991728581429"
