"run","End2End (Seconds)"
"0","0.00513349"
"1","0.00519563"
"2","0.00521312"
"3","0.00510776"
"4","0.00510913"
"5","0.00515922"
"6","0.00512685"
"7","0.00513261"
"8","0.00509604"
"9","0.00514961"
"10","0.00510265"
"11","0.00511279"
"12","0.00513943"
"13","0.00515274"
"14","0.00513715"
"15","0.0051527"
"16","0.00515265"
"17","0.00514223"
"18","0.0051849"
"19","0.00519294"
"20","0.00514641"
"21","0.00512986"
"22","0.00517147"
"23","0.00513411"
"24","0.00518616"
"25","0.00511146"
"26","0.00518454"
"27","0.00511314"
"28","0.00515048"
"29","0.00512706"
"30","0.00512533"
"31","0.00517187"
"32","0.00510248"
"33","0.0050657"
"34","0.00516603"
"35","0.00513493"
"36","0.00513082"
"37","0.00507165"
"38","0.00512647"
"39","0.00511922"
"40","0.00515457"
"41","0.00519032"
"42","0.00511178"
"43","0.00516481"
"44","0.00517259"
"45","0.00516014"
"46","0.0051442"
"47","0.00517443"
"48","0.00505348"
"49","0.00519289"
"50","0.00518696"
"51","0.00514278"
"52","0.00513419"
"53","0.00513143"
"54","0.00516951"
"55","0.00510681"
"56","0.00512097"
"57","0.00513031"
"58","0.00514929"
"59","0.0051293"
"60","0.00516045"
"61","0.00513208"
"62","0.00515438"
"63","0.00509104"
"64","0.00517779"
"65","0.00514601"
"66","0.00516686"
"67","0.00512846"
"68","0.00516116"
"69","0.00514504"
"70","0.00524519"
"71","0.00515878"
"72","0.00511822"
"73","0.00514463"
"74","0.00519158"
"75","0.00513739"
"76","0.00509582"
"77","0.00515927"
"78","0.00519645"
"79","0.00557166"
"80","0.0050448"
"81","0.00513394"
"82","0.0051358"
"83","0.00517521"
"84","0.00514298"
"85","0.00518789"
"86","0.00516988"
"87","0.00511508"
"88","0.00513828"
"89","0.00513358"
"90","0.00514757"
"91","0.00513815"
"92","0.00512509"
"93","0.00515095"
"94","0.00519162"
"95","0.00514909"
"96","0.00515194"
"97","0.00517835"
"98","0.00516635"
"99","0.00509834"
"mean","0.0051484074"
"min","0.0050448"
"max","0.00557166"
"lower","0.00513765761863155"
"upper","0.00515915718136845"
"error","1.07497813684465e-05"
