"run","RTT (Seconds)"
"0","0.00254714"
"1","0.00267961"
"2","0.00267991"
"3","0.00261696"
"4","0.00270661"
"5","0.00263133"
"6","0.00294445"
"7","0.0029636"
"8","0.00311946"
"9","0.00288821"
"10","0.00263992"
"11","0.00271771"
"12","0.00280096"
"13","0.0029731"
"14","0.00290478"
"15","0.00277213"
"16","0.00281873"
"17","0.0026974"
"18","0.00275016"
"19","0.00276739"
"20","0.00301741"
"21","0.00240452"
"22","0.00289318"
"23","0.00266299"
"24","0.00255665"
"25","0.00250471"
"26","0.00232096"
"27","0.00266349"
"28","0.00250556"
"29","0.00257619"
"30","0.00235774"
"31","0.00296998"
"32","0.00273334"
"33","0.00257773"
"34","0.00281192"
"35","0.00268488"
"36","0.0025348"
"37","0.00258356"
"38","0.00269659"
"39","0.00267474"
"40","0.00273234"
"41","0.00274498"
"42","0.00262407"
"43","0.00273212"
"44","0.00267976"
"45","0.0026564"
"46","0.00260838"
"47","0.00234777"
"48","0.00277704"
"49","0.00268733"
"50","0.00299019"
"51","0.0026166"
"52","0.00291863"
"53","0.00251631"
"54","0.00264582"
"55","0.0023994"
"56","0.00251465"
"57","0.0026498"
"58","0.00290051"
"59","0.00241794"
"60","0.00263932"
"61","0.00254802"
"62","0.00263438"
"63","0.00279888"
"64","0.00281417"
"65","0.00270775"
"66","0.00251617"
"67","0.00310336"
"68","0.00298313"
"69","0.00250327"
"70","0.00287327"
"71","0.00267683"
"72","0.0028141"
"73","0.00266577"
"74","0.00254379"
"75","0.00254025"
"76","0.00263372"
"77","0.0024449"
"78","0.00274103"
"79","0.047435"
"80","0.00284145"
"81","0.00251675"
"82","0.00262022"
"83","0.00259871"
"84","0.00286613"
"85","0.00320255"
"86","0.00247761"
"87","0.00245198"
"88","0.00249984"
"89","0.00248855"
"90","0.00282182"
"91","0.00278364"
"92","0.00291688"
"93","0.00259692"
"94","0.00267643"
"95","0.00259657"
"96","0.00269043"
"97","0.00262283"
"98","0.00256983"
"99","0.00252457"
"mean","0.0031349136"
"min","0.00232096"
"max","0.047435"
"lower","0.00224634725235312"
"upper","0.00402347994764688"
"error","0.00088856634764688"
