"run","CapacityAtEnd (Stddev)"
"0","0.347"
"1","0.347"
"2","0.345"
"3","0.348"
"4","0.349"
"5","0.352"
"6","0.35"
"7","0.346"
"8","0.35"
"9","0.346"
"10","0.345"
"11","0.346"
"12","0.348"
"13","0.351"
"14","0.348"
"15","0.349"
"16","0.35"
"17","0.345"
"18","0.351"
"19","0.346"
"20","0.348"
"21","0.348"
"22","0.346"
"23","0.346"
"24","0.348"
"25","0.345"
"26","0.349"
"27","0.347"
"28","0.346"
"29","0.346"
"30","0.348"
"31","0.345"
"32","0.349"
"33","0.349"
"34","0.348"
"35","0.348"
"36","0.348"
"37","0.346"
"38","0.345"
"39","0.348"
"40","0.346"
"41","0.35"
"42","0.348"
"43","0.347"
"44","0.346"
"45","0.348"
"46","0.348"
"47","0.345"
"48","0.345"
"49","0.345"
"50","0.345"
"51","0.345"
"52","0.348"
"53","0.347"
"54","0.347"
"55","0.346"
"56","0.349"
"57","0.345"
"58","0.345"
"59","0.35"
"60","0.345"
"61","0.349"
"62","0.346"
"63","0.346"
"64","0.348"
"65","0.346"
"66","0.346"
"67","0.35"
"68","0.348"
"69","0.345"
"70","0.345"
"71","0.345"
"72","0.348"
"73","0.347"
"74","0.347"
"75","0.345"
"76","0.345"
"77","0.349"
"78","0.347"
"79","0.348"
"80","0.346"
"81","0.345"
"82","0.345"
"83","0.347"
"84","0.351"
"85","0.345"
"86","0.349"
"87","0.349"
"88","0.349"
"89","0.349"
"90","0.346"
"91","0.347"
"92","0.345"
"93","0.345"
"94","0.346"
"95","0.348"
"96","0.347"
"97","0.347"
"98","0.348"
"99","0.347"
"mean","0.34713"
"min","0.345"
"max","0.352"
"lower","0.346779276530668"
"upper","0.347480723469332"
"error","0.000350723469331626"
