"run","End2End (Seconds)"
"0","0.00507611"
"1","0.00515323"
"2","0.00511179"
"3","0.00503631"
"4","0.00512632"
"5","0.00503001"
"6","0.00508149"
"7","0.0051003"
"8","0.00509189"
"9","0.00511225"
"10","0.00508065"
"11","0.00512755"
"12","0.00507045"
"13","0.00507177"
"14","0.00506589"
"15","0.00510081"
"16","0.00512692"
"17","0.00505417"
"18","0.00511148"
"19","0.00505817"
"20","0.00512436"
"21","0.0085002"
"22","0.00512014"
"23","0.00506793"
"24","0.00511051"
"25","0.00509502"
"26","0.00508504"
"27","0.00931332"
"28","0.00509742"
"29","0.00507521"
"30","0.00512704"
"31","0.00511868"
"32","0.00510969"
"33","0.0050595"
"34","0.00506684"
"35","0.00508998"
"36","0.00512369"
"37","0.00506924"
"38","0.00510514"
"39","0.00513116"
"40","0.00507959"
"41","0.00511568"
"42","0.00508417"
"43","0.00511971"
"44","0.00511175"
"45","0.00899031"
"46","0.00510757"
"47","0.00513476"
"48","0.00810666"
"49","0.00510832"
"50","0.00825313"
"51","0.00513592"
"52","0.00511707"
"53","0.00508617"
"54","0.00510766"
"55","0.00511779"
"56","0.00512823"
"57","0.00513267"
"58","0.00511365"
"59","0.00509852"
"60","0.00780659"
"61","0.00512132"
"62","0.00508111"
"63","0.005076"
"64","0.00510437"
"65","0.00511071"
"66","0.00510261"
"67","0.00508254"
"68","0.00507513"
"69","0.00509914"
"70","0.00512508"
"71","0.00510722"
"72","0.00506611"
"73","0.00512429"
"74","0.00508"
"75","0.00511023"
"76","0.00510405"
"77","0.0051134"
"78","0.00510264"
"79","0.00508778"
"80","0.00511772"
"81","0.00511421"
"82","0.00506797"
"83","0.0051171"
"84","0.00510494"
"85","0.00509378"
"86","0.00506071"
"87","0.00507914"
"88","0.00511327"
"89","0.00509595"
"90","0.00506793"
"91","0.00507079"
"92","0.00503954"
"93","0.00509554"
"94","0.00512073"
"95","0.00513576"
"96","0.00510116"
"97","0.00858937"
"98","0.00511038"
"99","0.00504849"
"mean","0.005336518"
"min","0.00503001"
"max","0.00931332"
"lower","0.00516107840988533"
"upper","0.00551195759011467"
"error","0.00017543959011467"
