"run","RTT (Seconds)"
"0","0.00238027"
"1","0.00255463"
"2","0.00238143"
"3","0.00256891"
"4","0.00253751"
"5","0.00254404"
"6","0.00233687"
"7","0.00251252"
"8","0.00253115"
"9","0.00232774"
"10","0.00253754"
"11","0.00264273"
"12","0.00253788"
"13","0.00222706"
"14","0.00225937"
"15","0.00220871"
"16","0.00245771"
"17","0.00230424"
"18","0.00234355"
"19","0.0023031"
"20","0.00268115"
"21","0.00941008"
"22","0.0024412"
"23","0.0025765"
"24","0.00240663"
"25","0.00231229"
"26","0.00269082"
"27","0.00666934"
"28","0.00248222"
"29","0.00257777"
"30","0.00240445"
"31","0.00243824"
"32","0.00247419"
"33","0.00256148"
"34","0.00233399"
"35","0.00241707"
"36","0.00257914"
"37","0.00239237"
"38","0.00251807"
"39","0.00241309"
"40","0.00251682"
"41","0.00264525"
"42","0.00251105"
"43","0.00233555"
"44","0.00261962"
"45","0.00673589"
"46","0.00254746"
"47","0.00261542"
"48","0.00703088"
"49","0.00250206"
"50","0.00391564"
"51","0.00236677"
"52","0.00274376"
"53","0.00254878"
"54","0.00255598"
"55","0.00233808"
"56","0.00241205"
"57","0.00253895"
"58","0.00224103"
"59","0.00237259"
"60","0.00539922"
"61","0.00241802"
"62","0.00245829"
"63","0.00244521"
"64","0.00258136"
"65","0.00263627"
"66","0.00237359"
"67","0.00213484"
"68","0.00252978"
"69","0.00237331"
"70","0.00254138"
"71","0.00229669"
"72","0.00230431"
"73","0.00268395"
"74","0.00257728"
"75","0.00246542"
"76","0.00235195"
"77","0.00246223"
"78","0.00251334"
"79","0.00229515"
"80","0.00254543"
"81","0.00245689"
"82","0.00230851"
"83","0.00239592"
"84","0.00248063"
"85","0.00233058"
"86","0.00245346"
"87","0.002498"
"88","0.0023178"
"89","0.00235172"
"90","0.00258235"
"91","0.00263107"
"92","0.00243267"
"93","0.00237277"
"94","0.00247896"
"95","0.00252113"
"96","0.00244749"
"97","0.00389747"
"98","0.00249977"
"99","0.00258975"
"mean","0.0027180464"
"min","0.00213484"
"max","0.00941008"
"lower","0.00250631927630494"
"upper","0.00292977352369506"
"error","0.000211727123695063"
