"run","CapacityAtEnd (Stddev)"
"0","0.995"
"1","0.995"
"2","0.994"
"3","0.996"
"4","0.996"
"5","0.997"
"6","0.995"
"7","0.996"
"8","0.996"
"9","0.995"
"10","0.994"
"11","0.997"
"12","0.997"
"13","0.996"
"14","0.995"
"15","0.996"
"16","0.996"
"17","0.996"
"18","0.996"
"19","0.994"
"20","0.996"
"21","0.997"
"22","0.994"
"23","0.996"
"24","0.996"
"25","0.995"
"26","0.995"
"27","0.997"
"28","0.997"
"29","0.996"
"30","0.997"
"31","0.995"
"32","0.996"
"33","0.996"
"34","0.995"
"35","0.996"
"36","0.997"
"37","0.994"
"38","0.995"
"39","0.996"
"40","0.998"
"41","0.996"
"42","0.994"
"43","0.996"
"44","0.995"
"45","0.996"
"46","0.996"
"47","0.997"
"48","0.995"
"49","0.995"
"50","0.996"
"51","0.995"
"52","0.996"
"53","0.997"
"54","0.996"
"55","0.995"
"56","0.996"
"57","0.996"
"58","0.995"
"59","0.995"
"60","0.996"
"61","0.996"
"62","0.996"
"63","0.996"
"64","0.996"
"65","0.995"
"66","0.996"
"67","0.996"
"68","0.995"
"69","0.996"
"70","0.997"
"71","0.995"
"72","0.995"
"73","0.997"
"74","0.994"
"75","0.996"
"76","0.996"
"77","0.995"
"78","0.996"
"79","0.995"
"80","0.995"
"81","0.998"
"82","0.995"
"83","0.995"
"84","0.998"
"85","0.997"
"86","0.996"
"87","0.993"
"88","0.996"
"89","0.995"
"90","0.995"
"91","0.995"
"92","0.996"
"93","0.995"
"94","0.995"
"95","0.999"
"96","0.996"
"97","0.996"
"98","0.996"
"99","0.998"
"mean","0.99576"
"min","0.993"
"max","0.999"
"lower","0.995560341236503"
"upper","0.995959658763497"
"error","0.000199658763497368"
