"run","CapacityAtEnd (Stddev)"
"0","0.347"
"1","0.345"
"2","0.347"
"3","0.347"
"4","0.353"
"5","0.35"
"6","0.347"
"7","0.347"
"8","0.349"
"9","0.345"
"10","0.346"
"11","0.349"
"12","0.343"
"13","0.347"
"14","0.349"
"15","0.346"
"16","0.344"
"17","0.348"
"18","0.349"
"19","0.348"
"20","0.349"
"21","0.348"
"22","0.346"
"23","0.345"
"24","0.345"
"25","0.349"
"26","0.346"
"27","0.347"
"28","0.346"
"29","0.346"
"30","0.347"
"31","0.349"
"32","0.347"
"33","0.347"
"34","0.346"
"35","0.348"
"36","0.348"
"37","0.349"
"38","0.35"
"39","0.349"
"40","0.344"
"41","0.351"
"42","0.349"
"43","0.35"
"44","0.342"
"45","0.349"
"46","0.348"
"47","0.35"
"48","0.348"
"49","0.344"
"50","0.347"
"51","0.349"
"52","0.342"
"53","0.348"
"54","0.348"
"55","0.346"
"56","0.347"
"57","0.345"
"58","0.348"
"59","0.347"
"60","0.345"
"61","0.35"
"62","0.348"
"63","0.348"
"64","0.347"
"65","0.344"
"66","0.35"
"67","0.345"
"68","0.348"
"69","0.347"
"70","0.345"
"71","0.349"
"72","0.348"
"73","0.347"
"74","0.347"
"75","0.346"
"76","0.348"
"77","0.347"
"78","0.347"
"79","0.346"
"80","0.346"
"81","0.347"
"82","0.347"
"83","0.349"
"84","0.345"
"85","0.347"
"86","0.345"
"87","0.346"
"88","0.347"
"89","0.348"
"90","0.347"
"91","0.346"
"92","0.346"
"93","0.347"
"94","0.344"
"95","0.345"
"96","0.345"
"97","0.347"
"98","0.347"
"99","0.348"
"mean","0.34706"
"min","0.342"
"max","0.353"
"lower","0.346686047032689"
"upper","0.347433952967311"
"error","0.000373952967310909"
