"run","End2End (Seconds)"
"0","0.00511769"
"1","0.00507079"
"2","0.00510298"
"3","0.00508846"
"4","0.00509727"
"5","0.0050969"
"6","0.00503975"
"7","0.00501265"
"8","0.005072"
"9","0.00508767"
"10","0.00836835"
"11","0.00509732"
"12","0.00508676"
"13","0.00510414"
"14","0.00514553"
"15","0.00511633"
"16","0.00509645"
"17","0.00510896"
"18","0.00510663"
"19","0.00504374"
"20","0.00507519"
"21","0.00501345"
"22","0.00513776"
"23","0.00508803"
"24","0.00507726"
"25","0.0051103"
"26","0.00512851"
"27","0.00799348"
"28","0.00508919"
"29","0.00509008"
"30","0.00860033"
"31","0.00506685"
"32","0.00509522"
"33","0.00508391"
"34","0.0051264"
"35","0.00510991"
"36","0.00509055"
"37","0.0098934"
"38","0.00511252"
"39","0.00510082"
"40","0.00512788"
"41","0.00510399"
"42","0.00504931"
"43","0.00509894"
"44","0.00507049"
"45","0.00896951"
"46","0.00511098"
"47","0.00508521"
"48","0.00507993"
"49","0.00509967"
"50","0.00507726"
"51","0.00509706"
"52","0.00508777"
"53","0.00512219"
"54","0.00506699"
"55","0.00504342"
"56","0.00510579"
"57","0.00512305"
"58","0.00509131"
"59","0.00916279"
"60","0.00504779"
"61","0.00509327"
"62","0.00507947"
"63","0.00509891"
"64","0.00510289"
"65","0.00900846"
"66","0.00503342"
"67","0.00506311"
"68","0.00788554"
"69","0.00864612"
"70","0.00511223"
"71","0.005108"
"72","0.00509337"
"73","0.00510102"
"74","0.00507755"
"75","0.00504548"
"76","0.00507696"
"77","0.00505237"
"78","0.00515162"
"79","0.00511126"
"80","0.00508349"
"81","0.00515794"
"82","0.00791368"
"83","0.00512849"
"84","0.00510618"
"85","0.00512668"
"86","0.00513674"
"87","0.00510879"
"88","0.00506853"
"89","0.00506735"
"90","0.0050911"
"91","0.00820338"
"92","0.00914703"
"93","0.00510828"
"94","0.00512092"
"95","0.00507858"
"96","0.00859111"
"97","0.00506799"
"98","0.00504044"
"99","0.00792749"
"mean","0.005581801"
"min","0.00501265"
"max","0.0098934"
"lower","0.00533566089249343"
"upper","0.00582794110750658"
"error","0.000246140107506575"
