"run","RTT (Seconds)"
"0","0.0024619"
"1","0.00243272"
"2","0.00247671"
"3","0.00252325"
"4","0.00261296"
"5","0.00236083"
"6","0.00253559"
"7","0.00235407"
"8","0.00279991"
"9","0.00252388"
"10","0.00707054"
"11","0.00294772"
"12","0.00248436"
"13","0.00235055"
"14","0.00232156"
"15","0.00246597"
"16","0.00240952"
"17","0.00247451"
"18","0.00243612"
"19","0.00227854"
"20","0.00242784"
"21","0.00231294"
"22","0.00250061"
"23","0.00248854"
"24","0.00232726"
"25","0.00258337"
"26","0.00277162"
"27","0.00744608"
"28","0.00236486"
"29","0.00228015"
"30","0.00567966"
"31","0.00236695"
"32","0.00240527"
"33","0.00266501"
"34","0.00285985"
"35","0.00255547"
"36","0.00258848"
"37","0.00738013"
"38","0.00232278"
"39","0.00249942"
"40","0.00260322"
"41","0.00251959"
"42","0.00236145"
"43","0.00228003"
"44","0.00246919"
"45","0.00362358"
"46","0.00255966"
"47","0.00241728"
"48","0.00245231"
"49","0.0025015"
"50","0.00250606"
"51","0.00241437"
"52","0.00235053"
"53","0.0023565"
"54","0.0023569"
"55","0.00271749"
"56","0.00238646"
"57","0.00254159"
"58","0.00245802"
"59","0.00578753"
"60","0.00242751"
"61","0.00260133"
"62","0.00233872"
"63","0.0023763"
"64","0.00264847"
"65","0.00405654"
"66","0.00253615"
"67","0.0024589"
"68","0.00682724"
"69","0.00888981"
"70","0.00262248"
"71","0.00248913"
"72","0.0022764"
"73","0.0026687"
"74","0.00246605"
"75","0.00246933"
"76","0.00253783"
"77","0.0024036"
"78","0.00268823"
"79","0.0027746"
"80","0.00268206"
"81","0.00282537"
"82","0.00459493"
"83","0.0025373"
"84","0.00283163"
"85","0.00246159"
"86","0.00239117"
"87","0.0024158"
"88","0.0021872"
"89","0.00255289"
"90","0.00245822"
"91","0.00912043"
"92","0.00594091"
"93","0.00285696"
"94","0.0025452"
"95","0.00253119"
"96","0.00733307"
"97","0.00266624"
"98","0.00238953"
"99","0.00885361"
"mean","0.0030754338"
"min","0.0021872"
"max","0.00912043"
"lower","0.00276266707172261"
"upper","0.0033882005282774"
"error","0.000312766728277396"
