"run","CapacityAtEnd (Stddev)"
"0","0.996"
"1","0.996"
"2","0.995"
"3","0.996"
"4","0.996"
"5","0.996"
"6","0.998"
"7","0.998"
"8","0.996"
"9","0.996"
"10","0.997"
"11","0.996"
"12","0.996"
"13","0.996"
"14","0.996"
"15","0.996"
"16","0.998"
"17","0.997"
"18","0.997"
"19","0.997"
"20","0.998"
"21","0.999"
"22","0.997"
"23","0.995"
"24","0.997"
"25","0.996"
"26","0.998"
"27","0.996"
"28","0.995"
"29","0.996"
"30","0.998"
"31","0.996"
"32","0.997"
"33","0.996"
"34","0.999"
"35","0.998"
"36","0.996"
"37","0.997"
"38","0.998"
"39","0.997"
"40","0.996"
"41","0.996"
"42","0.996"
"43","0.996"
"44","0.995"
"45","1"
"46","0.997"
"47","0.997"
"48","0.997"
"49","0.996"
"50","0.997"
"51","0.997"
"52","0.998"
"53","0.997"
"54","0.998"
"55","0.997"
"56","0.999"
"57","0.999"
"58","0.996"
"59","0.998"
"60","0.996"
"61","0.998"
"62","0.996"
"63","0.996"
"64","0.996"
"65","0.996"
"66","0.998"
"67","0.996"
"68","0.999"
"69","0.995"
"70","0.997"
"71","0.996"
"72","0.996"
"73","0.997"
"74","0.996"
"75","0.997"
"76","0.996"
"77","0.996"
"78","0.997"
"79","0.997"
"80","0.998"
"81","0.999"
"82","0.997"
"83","0.997"
"84","0.999"
"85","0.999"
"86","0.999"
"87","0.996"
"88","0.999"
"89","0.998"
"90","0.996"
"91","0.996"
"92","0.996"
"93","0.996"
"94","0.997"
"95","0.996"
"96","0.998"
"97","0.997"
"98","0.995"
"99","0.998"
"mean","0.99687"
"min","0.995"
"max","1"
"lower","0.996643230885531"
"upper","0.997096769114468"
"error","0.000226769114468728"
