"run","CapacityAtEnd (Stddev)"
"0","0.00823407554009556"
"1","0.00763544366752843"
"2","0.00630079360080935"
"3","0.00694982014155762"
"4","0.0085848704125339"
"5","0.00864869932417586"
"6","0.00775886589650833"
"7","0.00864869932417586"
"8","0.00709224929059886"
"9","0.00772657750883274"
"10","0.00491934955049953"
"11","0.00753657747256671"
"12","0.00842614977317636"
"13","0.00719027120489902"
"14","0.00798122797569397"
"15","0.00852642949891688"
"16","0.00739594483484024"
"17","0.00775886589650833"
"18","0.00712741187248218"
"19","0.00864869932417586"
"20","0.00834865258589672"
"21","0.00638748776906852"
"22","0.00882043082847998"
"23","0.00897217922246318"
"24","0.00687022561492707"
"25","0.0085848704125339"
"26","0.00861974477580398"
"27","0.00867179335547152"
"28","0.00709224929059886"
"29","0.00839642781187333"
"30","0.00782304288624318"
"31","0.00775886589650833"
"32","0.00790569415042095"
"33","0.00879204185613331"
"34","0.00779102047231298"
"35","0.00834865258589672"
"36","0.00760263112349928"
"37","0.00658027355054484"
"38","0.00879204185613331"
"39","0.00694982014155762"
"40","0.00823407554009556"
"41","0.00766811580507233"
"42","0.00763544366752843"
"43","0.00848528137423857"
"44","0.00715541752799933"
"45","0.00820365772079748"
"46","0.0085848704125339"
"47","0.00882043082847998"
"48","0.00760263112349929"
"49","0.00831865373723417"
"50","0.00870631954387157"
"51","0.00788669766125214"
"52","0.00861974477580398"
"53","0.00746324326281812"
"54","0.00763544366752843"
"55","0.00887130204648675"
"56","0.00694262198308391"
"57","0.00790569415042095"
"58","0.00876356092008266"
"59","0.00823407554009556"
"60","0.00823407554009556"
"61","0.00664830805543786"
"62","0.00787400787401181"
"63","0.00879204185613331"
"64","0.00842614977317636"
"65","0.0073143694191639"
"66","0.00516720427310552"
"67","0.00884872872225158"
"68","0.00775886589650833"
"69","0.00866025403784439"
"70","0.00845576726264388"
"71","0.00790569415042095"
"72","0.00823407554009556"
"73","0.00794984276574072"
"74","0.0085848704125339"
"75","0.00873498712076898"
"76","0.00808084154033477"
"77","0.00912140340079311"
"78","0.00814248119432891"
"79","0.00873498712076898"
"80","0.00753657747256671"
"81","0.0073824115301167"
"82","0.00861974477580398"
"83","0.00784219357067906"
"84","0.00725947656515261"
"85","0.00658027355054484"
"86","0.0084380092438916"
"87","0.0061400325732035"
"88","0.00763544366752843"
"89","0.00875785361832453"
"90","0.00709224929059886"
"91","0.00867179335547152"
"92","0.00753657747256671"
"93","0.00787400787401181"
"94","0.00879204185613331"
"95","0.00828854631404084"
"96","0.00828854631404084"
"97","0.00808084154033477"
"98","0.00634034699365894"
"99","0.00804984471899924"
"mean","0.00790812217839694"
"min","0.00491934955049953"
"max","0.00912140340079311"
"lower","0.00774702327490571"
"upper","0.00806922108188817"
"error","0.00016109890349123"
