"run","End2End (Seconds)"
"0","0.00511829"
"1","0.00509718"
"2","0.00512492"
"3","0.00958763"
"4","0.00505344"
"5","0.00507677"
"6","0.00503794"
"7","0.00507873"
"8","0.00503835"
"9","0.00853094"
"10","0.00512287"
"11","0.00847163"
"12","0.00504481"
"13","0.00856133"
"14","0.00512388"
"15","0.00867585"
"16","0.00514939"
"17","0.00510602"
"18","0.00512926"
"19","0.00505303"
"20","0.0051142"
"21","0.00504625"
"22","0.00514586"
"23","0.00508516"
"24","0.00805086"
"25","0.00506417"
"26","0.00506021"
"27","0.00504077"
"28","0.00506687"
"29","0.00503518"
"30","0.0078866"
"31","0.0050592"
"32","0.00508341"
"33","0.00508714"
"34","0.00510643"
"35","0.00511566"
"36","0.0051093"
"37","0.00889254"
"38","0.00510673"
"39","0.00508854"
"40","0.00510275"
"41","0.00508501"
"42","0.00505802"
"43","0.0050901"
"44","0.00841892"
"45","0.00857773"
"46","0.00505891"
"47","0.00511411"
"48","0.00505971"
"49","0.00510494"
"50","0.00513964"
"51","0.00904358"
"52","0.00509206"
"53","0.00511142"
"54","0.0051128"
"55","0.0050837"
"56","0.00512618"
"57","0.00507552"
"58","0.00507958"
"59","0.00514919"
"60","0.00507295"
"61","0.00514574"
"62","0.00510658"
"63","0.00508074"
"64","0.00508109"
"65","0.00509766"
"66","0.00505378"
"67","0.00503782"
"68","0.00852912"
"69","0.00508619"
"70","0.00509869"
"71","0.00511304"
"72","0.00509832"
"73","0.00507321"
"74","0.005134"
"75","0.011199"
"76","0.00507465"
"77","0.00878477"
"78","0.00511904"
"79","0.00510902"
"80","0.00509978"
"81","0.00507306"
"82","0.00509742"
"83","0.00852593"
"84","0.00509883"
"85","0.00930541"
"86","0.00869826"
"87","0.00511629"
"88","0.00510563"
"89","0.00508032"
"90","0.0050581"
"91","0.0050626"
"92","0.00507042"
"93","0.00510514"
"94","0.00511802"
"95","0.00509541"
"96","0.00515716"
"97","0.00504951"
"98","0.00507085"
"99","0.0050838"
"mean","0.0057227856"
"min","0.00503518"
"max","0.011199"
"lower","0.00543812498200852"
"upper","0.00600744621799148"
"error","0.00028466061799148"
