"run","RTT (Seconds)"
"0","0.00237988"
"1","0.00223224"
"2","0.00251716"
"3","0.00358604"
"4","0.0024473"
"5","0.00241863"
"6","0.00198959"
"7","0.00235813"
"8","0.00256595"
"9","0.0047315"
"10","0.00219884"
"11","0.0080141"
"12","0.00262542"
"13","0.00814508"
"14","0.00218091"
"15","0.00500066"
"16","0.00256494"
"17","0.00259001"
"18","0.00225124"
"19","0.00240247"
"20","0.00253168"
"21","0.00241572"
"22","0.0024472"
"23","0.00231872"
"24","0.00882374"
"25","0.002497"
"26","0.00246012"
"27","0.00248304"
"28","0.00235736"
"29","0.00247749"
"30","0.00673429"
"31","0.00222833"
"32","0.00233228"
"33","0.00256454"
"34","0.0025005"
"35","0.00248476"
"36","0.00226884"
"37","0.00752592"
"38","0.00245372"
"39","0.00232271"
"40","0.00253324"
"41","0.00254802"
"42","0.00235354"
"43","0.00229991"
"44","0.00749605"
"45","0.00334719"
"46","0.00278878"
"47","0.00234903"
"48","0.00236146"
"49","0.00248422"
"50","0.00262867"
"51","0.00618908"
"52","0.00248189"
"53","0.00239863"
"54","0.00241416"
"55","0.00256533"
"56","0.00225072"
"57","0.00253336"
"58","0.0025139"
"59","0.00229671"
"60","0.00240915"
"61","0.00254632"
"62","0.00251634"
"63","0.00273605"
"64","0.00252295"
"65","0.00209704"
"66","0.00234369"
"67","0.00235184"
"68","0.00871096"
"69","0.00233719"
"70","0.00218912"
"71","0.0026865"
"72","0.0024477"
"73","0.00262972"
"74","0.00261141"
"75","0.010404"
"76","0.00249023"
"77","0.00617684"
"78","0.00258402"
"79","0.00252182"
"80","0.00247795"
"81","0.00244962"
"82","0.0024592"
"83","0.0074808"
"84","0.00245995"
"85","0.00778233"
"86","0.00720042"
"87","0.00238101"
"88","0.00271155"
"89","0.00277354"
"90","0.00214085"
"91","0.00258262"
"92","0.00263165"
"93","0.00247559"
"94","0.00247566"
"95","0.00245486"
"96","0.00237966"
"97","0.00251484"
"98","0.0023491"
"99","0.00269296"
"mean","0.0032044899"
"min","0.00198959"
"max","0.010404"
"lower","0.00283731672206961"
"upper","0.00357166307793039"
"error","0.000367173177930387"
