"run","End2End (Seconds)"
"0","0.00515722"
"1","0.00514367"
"2","0.00512133"
"3","0.00508919"
"4","0.00770996"
"5","0.00506401"
"6","0.00504162"
"7","0.0086607"
"8","0.00508411"
"9","0.00507245"
"10","0.00509399"
"11","0.00510167"
"12","0.00885042"
"13","0.00506895"
"14","0.0050759"
"15","0.00511476"
"16","0.00511087"
"17","0.00510634"
"18","0.00509967"
"19","0.00506523"
"20","0.00506317"
"21","0.00506535"
"22","0.00512706"
"23","0.00505477"
"24","0.00510132"
"25","0.00509262"
"26","0.00515227"
"27","0.00872239"
"28","0.00506134"
"29","0.00505797"
"30","0.00512489"
"31","0.00503953"
"32","0.00513718"
"33","0.00508585"
"34","0.0050973"
"35","0.00513153"
"36","0.0050771"
"37","0.00506015"
"38","0.00507604"
"39","0.0099454"
"40","0.0050628"
"41","0.00512567"
"42","0.00507096"
"43","0.00511537"
"44","0.00508092"
"45","0.00511585"
"46","0.005091"
"47","0.0095661"
"48","0.0051204"
"49","0.00975095"
"50","0.00789676"
"51","0.00510398"
"52","0.0051027"
"53","0.00514402"
"54","0.00508388"
"55","0.00510035"
"56","0.00510946"
"57","0.00510844"
"58","0.00512064"
"59","0.00517416"
"60","0.00861246"
"61","0.00510975"
"62","0.00512077"
"63","0.0050817"
"64","0.0051403"
"65","0.00507695"
"66","0.00504758"
"67","0.00509331"
"68","0.00508402"
"69","0.00506471"
"70","0.0051038"
"71","0.00513767"
"72","0.00513101"
"73","0.00893009"
"74","0.00514341"
"75","0.0050806"
"76","0.00513978"
"77","0.00513027"
"78","0.00511624"
"79","0.0050776"
"80","0.00505436"
"81","0.00509994"
"82","0.00506951"
"83","0.00515123"
"84","0.00512822"
"85","0.00717446"
"86","0.00507347"
"87","0.00509804"
"88","0.00508572"
"89","0.00511091"
"90","0.00504269"
"91","0.00505462"
"92","0.00510827"
"93","0.00508072"
"94","0.00512275"
"95","0.00509138"
"96","0.00511527"
"97","0.00509397"
"98","0.00508769"
"99","0.0051029"
"mean","0.0054951784"
"min","0.00503953"
"max","0.0099454"
"lower","0.00526319386595095"
"upper","0.00572716293404906"
"error","0.000231984534049054"
