"run","RTT (Seconds)"
"0","0.00242901"
"1","0.00255883"
"2","0.00234086"
"3","0.00220786"
"4","0.00460502"
"5","0.002426"
"6","0.00233131"
"7","0.00512045"
"8","0.0025049"
"9","0.00262939"
"10","0.00247845"
"11","0.00248467"
"12","0.0048447"
"13","0.00259127"
"14","0.00236518"
"15","0.00271254"
"16","0.00228382"
"17","0.00239668"
"18","0.0022864"
"19","0.00245326"
"20","0.00249494"
"21","0.00239234"
"22","0.00225826"
"23","0.00259397"
"24","0.00238938"
"25","0.00256868"
"26","0.00230549"
"27","0.0064855"
"28","0.00251696"
"29","0.00238512"
"30","0.00240612"
"31","0.00220457"
"32","0.00250744"
"33","0.00232556"
"34","0.00235565"
"35","0.00259264"
"36","0.00236078"
"37","0.00239285"
"38","0.00257086"
"39","0.00756102"
"40","0.0025794"
"41","0.00236065"
"42","0.00239081"
"43","0.00251569"
"44","0.00246173"
"45","0.0024588"
"46","0.00248408"
"47","0.00957417"
"48","0.00257646"
"49","0.00550893"
"50","0.00406198"
"51","0.00253645"
"52","0.0024642"
"53","0.00232518"
"54","0.00244654"
"55","0.00252805"
"56","0.00249449"
"57","0.00257774"
"58","0.00261579"
"59","0.00254983"
"60","0.00561136"
"61","0.00261912"
"62","0.00243909"
"63","0.00255193"
"64","0.00247017"
"65","0.00275658"
"66","0.00249292"
"67","0.0025662"
"68","0.00244856"
"69","0.0024286"
"70","0.00272445"
"71","0.00240738"
"72","0.00242497"
"73","0.0087375"
"74","0.00271115"
"75","0.00253456"
"76","0.00259787"
"77","0.00248166"
"78","0.00249287"
"79","0.00246671"
"80","0.00260329"
"81","0.00253006"
"82","0.00254464"
"83","0.00255001"
"84","0.00268974"
"85","0.00524467"
"86","0.00230097"
"87","0.00247325"
"88","0.00241289"
"89","0.00247831"
"90","0.0024298"
"91","0.00255543"
"92","0.00257966"
"93","0.0026273"
"94","0.00249774"
"95","0.0028201"
"96","0.00248601"
"97","0.00249274"
"98","0.00223778"
"99","0.00231529"
"mean","0.0028806303"
"min","0.00220457"
"max","0.00957417"
"lower","0.00262617435935583"
"upper","0.00313508624064417"
"error","0.00025445594064417"
